Time,X,Y
2.633333333333333570e+01,3.471990966796875000e+02,2.922080383300781250e+02
2.637500000000000000e+01,3.489880371093750000e+02,2.898313293457031250e+02
2.641666666666666785e+01,3.298523864746093750e+02,2.856022338867187500e+02
2.645833333333333570e+01,3.276284179687500000e+02,2.848259582519531250e+02
2.650000000000000000e+01,3.257973022460937500e+02,2.866255798339843750e+02
2.654166666666666785e+01,3.246473999023437500e+02,2.872991027832031250e+02
2.658333333333333570e+01,3.237798156738281250e+02,2.872393188476562500e+02
2.662500000000000000e+01,3.231265258789062500e+02,2.867516174316406250e+02
2.666666666666666785e+01,3.226385192871093750e+02,2.867024230957031250e+02
2.670833333333333570e+01,2.632898864746093750e+02,2.803731384277343750e+02
2.675000000000000000e+01,3.233060302734375000e+02,2.867532653808593750e+02
2.679166666666666785e+01,2.723868408203125000e+02,3.005008850097656250e+02
2.683333333333333570e+01,3.134338378906250000e+02,3.139906616210937500e+02
2.687500000000000000e+01,3.144284057617187500e+02,3.144558105468750000e+02
2.691666666666666785e+01,3.321941528320312500e+02,2.893217163085937500e+02
2.695833333333333570e+01,3.493300476074218750e+02,2.895677185058593750e+02
2.700000000000000000e+01,3.519611816406250000e+02,2.934009094238281250e+02
2.704166666666666785e+01,3.495415344238281250e+02,2.896849975585937500e+02
2.708333333333333570e+01,3.486341552734375000e+02,2.896691894531250000e+02
2.712500000000000000e+01,3.334516906738281250e+02,2.884009704589843750e+02
2.716666666666666785e+01,3.526971740722656250e+02,2.935243530273437500e+02
2.720833333333333570e+01,3.332649536132812500e+02,2.880402221679687500e+02
2.725000000000000000e+01,3.133030090332031250e+02,3.145680847167968750e+02
2.729166666666666785e+01,3.112930908203125000e+02,3.147028503417968750e+02
2.733333333333333570e+01,3.141599731445312500e+02,3.151326904296875000e+02
2.737500000000000000e+01,2.826285095214843750e+02,2.943631286621093750e+02
2.741666666666666785e+01,2.719594421386718750e+02,2.994542541503906250e+02
